# FormId	BillTypeNumber	BillTypeName
DRP_NeedApplication	YHSQ02_SYS	购销要货申请
SUB_PickMtrl	WWLLD01_SYS	普通委外领料
SP_PickMtrl	JDSCLL01_SYS	简单生产领料
PRD_PREPAREMTRL	SCBL01_SYS	生产备料单
SAL_OUTSTOCK	XSCKD03_SYS	零售出库单
AR_OtherRecAble	QTYSD01_SYS	其他应收单
STK_CycleCountPlan	ZQPDJH01_SYS	标准周期盘点计划单
SP_InStock	JDSCRK01_SYS	简单生产入库
HR_HM_Employee	GY01_SYS	标准雇佣员工申请单
STK_LOTADJUST	PHTZ01_SYS	标准批号调整单
IV_PURCHASEOC	CGPTFP01_SYS	采购普通发票
HR_HM_TransferOut	DC01_SYS	跨人事管理中心调出单
STK_InStock	RKD01_SYS	标准采购入库
SAL_SaleOrder	XSDD05_SYS	退货订单
STK_OEMInStockRETURN	STCLTL01_SYS	标准受托加工材料退料单
STK_TransferDirect	ZJDB03_SYS	委外直接调拨单
AP_Match	YFHXD01_SYS	应付核销单
AP_Payable	YFD01_SYS	标准应付单
CN_BILLRECSETTLE	BRJS04_SYS	应收票据背书退回
SAL_DELIVERYNOTICE	FHTZD04_SYS	分销购销发货通知单
SAL_DELIVERYNOTICE	FHTZD03_SYS	分销调拨发货通知单
SAL_SaleOrder	XSDD07_SYS	分销购销订单
SAL_SaleOrder	XSDD06_SYS	分销调拨订单
SAL_OUTSTOCK	XSCKD01_SYS	标准销售出库单
PUR_PurchaseOrder	CGDD04_SYS	资产采购订单
STK_TransferDirect	ZJDB04_SYS	分销直接调拨单
PUR_PurchaseOrder	CGDD05_SYS	费用采购订单
HM_DimissionManager	LZ01_SYS	标准离职申请单
CN_BILLRECSETTLE	BRJS05_SYS	应收票据退票
DRP_NeedApplication	YHSQ01_SYS	调拨要货申请
PRD_MO	SCDD04_SYS	直接入库-返工生产
PUR_PurchaseOrder	CGDD03_SYS	直运采购订单
SUB_RETURNMTRL	WWTLD02_SYS	倒冲委外退料
AR_Match	YSHXD01_SYS	应收核销单
PUR_Requisition	CGSQD02_SYS	直运采购申请
PUR_PurchaseOrder	CGDD06-SYS	补料采购订单
AP_PAYBILL	FKDLX03_SYS	工资发放付款单
HR_HM_PrbtEndBatch	PLSYZZ01_SYS	标准批量试用转正申请单
AP_InnerPayClear	YFQLDLX	应付清理单
HR_HM_CONTRACT	HT01_SYS	中国地区劳动合同
PRD_ReturnMtrl	SCTLD01_SYS	普通生产退料
AR_InnerRecClear	ARNBQLD	内部应收清理单
PUR_ReceiveBill	SLD05_SYS	费用物料接收单
PRD_FeedMtrl	SCBLD01_SYS	普通生产补料
CN_BILLPAYSETTLE	BPJS02_SYS	应付票据退票
STK_TransferDirect	ZJDB01_SYS	标准直接调拨单
SAL_RETURNSTOCK	XSTHD03_SYS	零售退货单
HS_AdjustmentBill	CKCBTZD01_SYS	出库成本调整单
PUR_MRB	TLD02_SYS	零散采购退料单
PUR_POChange	CGDDBGD01_SYS	标准采购订单变更单
STK_MISCELLANEOUS	QTRKD01_SYS	标准其他入库单
STK_InStock	RKD05_SYS	资产入库单
STK_InStock	RKD06_SYS	费用入库单
AP_PAYBILL	FKDLX01_SYS	采购业务付款单
SUB_PPBOMChange	WWYLQDBGD01_SYS	委外用料清单变更单
SAL_QUOTATION	XSBJD01_SYS	标准销售报价单
PRD_INSTOCK	SCRKD02_SYS	生产入库
STK_TRANSFEROUT	FBDC01_SYS	标准分步式调出单
ENG_Substitution	TDFA01_SYS	替代方案
PRD_MORPT	SCHBD02_SYS	生产汇报
PUR_ReceiveBill	SLD02_SYS	零散采购收料单
STK_TRANSFERIN	FBDR01_SYS	标准分步式调入单
AR_REFUNDBILL	SKTKDLX02_SYS	其他业务退款单
SAL_OUTSTOCK	XSCKD02_SYS	寄售出库单
SAL_SaleOrder	XSDD01_SYS	标准销售订单
HR_HM_PrbtEndMgr	SYZZ01_SYS	标准试用转正申请单
SAL_RETURNNOTICE	THTZD02_SYS	寄售退货通知单
AR_REFUNDBILL	SKTKDLX01_SYS	销售业务退款单
PUR_MRB	TLD03_SYS	资产退回单
PRD_PickMtrl	SCLLD01_SYS	普通生产领料
PLN_REQUIREMENTORDER	ZZJXQD01_SYS	组织间需求单
SAL_OUTSTOCK	XSCKD04_SYS	分销购销销售出库单
AP_PAYBILL	FKDLX02_SYS	其他业务付款单
